"Listing Number","Short Address","Geo Lat","Geo Lon","Private Pool","Sold Price","List Price","SqFt - Living","Total Bedrooms","Baths - Total","Cumulative DOM"
"RX-10542190","7295 Via Palomar","26.341866","-80.15864","No","460000.00","499000.00","1927.00","3","2.00","145"
"RX-10544005","22556 Esplanada Circle W","26.339154","-80.160789","Yes","515000.00","525000.00","3126.00","3","3.00","84"
"FX-10193751","7287 Panache Way","26.33301","-80.158514","No","313400.00","330000.00","1731.00","3","2.10","283"
"RX-10578957","22578 Esplanada Drive","26.340935","-80.158775","No","530000.00","550000.00","2129.00","3","2.00","60"
"RX-10583231","7641 La Corniche Circle","26.338356","-80.164501","Yes","700000.00","739000.00","3941.00","3","3.10","70"
"FX-10207870","7605 La Corniche Circle","26.338879","-80.165622","Yes","540000.00","599000.00","2807.00","3","3.10","41"
"RX-10586793","7167 Via Palomar","26.340747","-80.157656","No","535000.00","549000.00","2160.00","3","2.00","34"
"RX-10586392","7346 Panache Way","26.332999","-80.159353","No","382500.00","419000.00","1870.00","3","2.10","56"
"RX-10588257","7602 La Corniche Circle","26.338768","-80.166175","Yes","575000.00","625000.00","2821.00","4","4.00","6"
"RX-10590799","7295 Panache Way","26.332999","-80.158506","No","319000.00","324000.00","1709.00","3","2.10","84"
"RX-10596494","7601 La Corniche Circle","26.339023","-80.165736","Yes","700000.00","689000.00","3012.00","3","4.10","9"
"RX-10596153","7610 La Corniche Circle","26.338454","-80.165929","Yes","455000.00","515000.00","2802.00","3","3.10","157"
"RX-10598577","7669 La Corniche Circle","26.338302","-80.163194","Yes","613750.00","649888.00","3051.00","3","3.10","73"
"RX-10602389","22573 Esplanada Drive","26.340963","-80.159388","Yes","532950.00","545900.00","2783.00","4","3.00","45"
"RX-10609251","7727 La Corniche Circle","26.336108","-80.165437","Yes","530000.00","550000.00","2803.00","3","3.10","45"
"RX-10614730","7167 Via Palomar","26.340746","-80.157655","No","530000.00","550000.00","2160.00","3","2.00","29"
"RX-10632289","22575 Esplanada Circle W","26.339973","-80.160188","Yes","690000.00","749000.00","3791.00","4","4.00","7"
"RX-10627290","22794 El Dorado Drive","26.33703","-80.157373","Yes","900000.00","999999.00","4730.00","5","5.10","56"
"FX-10233784","22735 El Dorado Drive","26.338407","-80.157754","Yes","870000.00","924000.00","3770.00","4","4.10","64"
"RX-10633071","7192 Via Palomar","26.341046","-80.156591","No","571000.00","599900.00","2679.00","4","3.00","55"
"FX-10237748","22594 Esplanada Drive","26.340379","-80.158437","Yes","565000.00","559000.00","2000.00","3","2.00","3"
"RX-10642002","7267 Panache Way","26.333018","-80.157411","No","285000.00","299000.00","1150.00","2","2.00","11"
